internationalname,tradename,dosageform,manufacturer,amount,limitingprice,price,certificatenumber,registrationdate,barcode,atc,reasonexclude,dateexclude
Калия и магния аспарагинат,Аспаркам*,"таблетки, 50 шт. - упаковки ячейковые контурные - пачки картонные","ООО ""Фармацевтическая компания ""Здоровье"" - Украина", 50,  6.87,,П N014692/01-2003,"10.03.2010
(1808-Пр/10)",4820044110826,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Калия и магния аспарагинат,Аспаркам-L,"раствор для внутривенного введения, 10 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия", 10,  61.05,,ЛС-002174,"19.02.2010
(1230-Пр/10)",4602884003106,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Кальцитонин,Алостин,"спрей назальный дозированный 200 МЕ/доза, 14 доз, 2 мл - флаконы с дозирующим устройством - пачки картонные","Вл. - Генфа Медика С.А. - Швейцария; Пр. - Апотекс Инк - Канада; Уп. - ООО ""Протера"" - Россия", 1, 1 445.04,,ЛСР-000088,"30.07.2010
(7464-Пр/10)",4607159610225,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,18.02.2016
Кальцитонин,Алостин,"спрей назальный дозированный 200 МЕ/доза, 14 доз, 2 мл - флаконы с дозирующим устройством (2) - пачки картонные",Вл. - Генфа Медика С.А. - Швейцария; Пр. - Апотекс Инк - Канада, 2, 1 900.79,,ЛСР-000088,"14.07.2010
(6671-Пр/10)",4607159610089,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,18.02.2016
Кальцитонин,Алостин,"спрей назальный дозированный 200 МЕ/доза, 14 доз, 2 мл - флаконы с дозирующим устройством (2) - пачки картонные",Вл. - Генфа Медика С.А. - Швейцария; Пр. - Апотекс Инк - Канада, 2, 1 900.79,,ЛСР-000088,"15.03.2010
(1907-Пр/10)",4607159610089,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,18.02.2016
Кальция глюконат,Кальция глюконат**,"таблетки 500 мг (в РУ - 0.5 г), 10 шт. - упаковки безъячейковые контурные","ОАО ""Дальхимфарм"" - Россия", 10,  1.13,,ЛС-001804,"17.03.2010
(2173-Пр/10)",4602824000493,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Кальция глюконат,Кальция глюконат*,"таблетки 500 мг, 10 шт. - упаковки безъячейковые контурные","ОАО ""Фармстандарт-Лексредства"" - Россия", 10,  1.23,,ЛС-002163,"04.03.2010
(1729-Пр/10)",4601669000552,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Кальция глюконат,Кальция глюконат-Виал**,"раствор для внутривенного и внутримышечного введения 100 мг/мл, 10 мл - ампулы (10) - упаковки ячейковые контурные - пачки картонные
","Вл. - ООО ""Виал"" - Россия; Пр. - Сишуи Ксирканг Фармасьютикал Ко.Лтд - Китай; Уп. - ООО ""Озон"" - Россия", 10,  143.62,,ЛСР-004482/07,"29.06.2010
(6118-Пр/10)",4607027763350,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Карбамазепин,Карбамазепин*,"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия", 50,  33.70,,Р N002633/01,"11.03.2010
(1872-Пр/10)",4606486005568,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Карбоплатин,Карботера**,"лиофилизат для приготовления раствора для инфузий 150 мг, 1 шт. - флаконы - пачки картонные",Вл. - Лаборатория Тютор С.А.С.И.Ф.И.А. - Аргентина; Пр. - Лаборатория ИМА С.А.И.С. - Аргентина, 1,  488.20,,ЛСР-007717/09,"15.03.2010
(1907-Пр/10)",7793397025314,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Карбоплатин,Карботера**,"лиофилизат для приготовления раствора для инфузий 450 мг, 1 шт. - флаконы - пачки картонные",Вл. - Лаборатория Тютор С.А.С.И.Ф.И.А. - Аргентина; Пр. - Лаборатория ИМА С.А.И.С. - Аргентина, 1, 1 302.08,,ЛСР-007717/09,"15.03.2010
(1907-Пр/10)",7793397025321,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Карбоплатин,Карботера**,"лиофилизат для приготовления раствора для инфузий 50 мг, 1 шт. - флаконы - пачки картонные",Вл. - Лаборатория Тютор С.А.С.И.Ф.И.А. - Аргентина; Пр. - Лаборатория ИМА С.А.И.С. - Аргентина, 1,  284.73,,ЛСР-007717/09,"15.03.2010
(1907-Пр/10)",7793397025307,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Кармустин,БиКНУ*,лиофилизат для приготовления раствора для инфузий 100 мг - флаконы темного стекла /в комплекте с растворителем: этанол (ампулы) 3 мл/ - коробки картонные,Бристол-Майерс Сквибб С.р.Л. - Италия, 1,  904.72,,П N015891/01,"11.03.2010
(1872-Пр/10)",4602505007087,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Клонидин,Клофелин**,"раствор для внутривенного введения 0.1 мг/мл, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные","ОАО ""Дальхимфарм"" - Россия", 10,  13.56,,ЛС-001627,"17.03.2010
(2173-Пр/10)",4602824001377,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Ко-тримоксазол [Сульфаметоксазол+Триметоприм],Ко-тримоксазол**,"таблетки 480 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные","ОАО ""Фармстандарт-Лексредства"" - Россия", 10,  5.21,,Р N000700/01,"04.03.2010
(1729-Пр/10)",4601669001856,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Ко-тримоксазол [Сульфаметоксазол+Триметоприм],Ко-тримоксазол-СТИ*,"таблетки 480 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ОАО ""СТИ-Мед-Сорб"" - Россия", 20,  23.76,,Р N002559/01-2003,"03.03.2010
(1620-Пр/10)",4607003662042,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Кромоглициевая кислота,КромоГексал,"раствор для ингаляций 10 мг/мл, 2 мл - ампулы полиэтиленовые (10) - ленты (5) - пачки картонные",Вл. - Гексал АГ - Германия; Пр. - Фарма Штулльн ГмбХ - Германия, 50,  294.99,,П N014056/01,"04.03.2010
(1729-Пр/10)",4030855005918,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,12.07.2016
Левоноргестрел,Постинор*,"таблетки 0.75 мг, 2 шт. - упаковки ячейковые контурные - пачки картонные","ОАО ""Гедеон Рихтер"" - Венгрия", 2,  190.56,,П N011850/01,"05.05.2010
(3872-Пр/10)",5997001360170,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Левоноргестрел,Постинор*,"таблетки 0.75 мг, 2 шт. - упаковки ячейковые контурные - пачки картонные",Гедеон Рихтер А.О. - Венгрия, 2,  190.56,,П N011850/01,"22.03.2010
(2288-Пр/10)",5997001360170,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Левоноргестрел,Эскапел*,"таблетки 1.5 мг, 1 шт. - упаковки ячейковые контурные - пачки картонные","Вл. - ОАО ""Гедеон Рихтер"" - Венгрия; Пр. - Гедеон Рихтер А.О. - Венгрия", 1,  222.60,,П N015924/01,"05.05.2010
(3872-Пр/10)",5997001360484,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Левоноргестрел,Эскапел*,"таблетки 1.5 мг, 1 шт. - упаковки ячейковые контурные - пачки картонные",Гедеон Рихтер А.О. - Венгрия, 1,  222.60,,П N015924/01,"22.03.2010
(2288-Пр/10)",5997001360484,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Лидокаин,Лидокаин*,"спрей для местного применения дозированный 10%, 650 доз, 38 г - флаконы полимерные с дозирующим насосом /в комплекте с распылителем для орального применения и насадкой стоматологической/ - пачки картонные","ОАО ""Фармстандарт-Лексредства"" - Россия", 1,  166.45,,Р N002739/01,"04.03.2010
(1729-Пр/10)",4601669003904,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Лидокаин,Лидокаина гидрохлорид,"раствор для инъекций 20 мг/мл (в РУ - 2%), 2 мл - ампулы (10) - упаковки ячейковые контурные /в комплекте с ножом ампульным или скарификатором/ - пачки картонные","ОАО ""Биосинтез"" - Россия", 10,  12.80,,Р N001276/01-2002,"19.02.2010
(1230-Пр/10)",4602884001935,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Лидокаин,Лидокаин-Виал**,"спрей для местного и наружного применения 10%, 1 шт., 38 г - флаконы полипропиленовые /в комплекте с распылителем/ - пачки картонные","Вл. - ООО ""Виал"" - Россия; Пр. - Цзевим Фармасьютикал (Шандунь) Ко.Лтд - Китай; Уп. - ООО ""Озон"" - Россия", 1,  288.32,,ЛСР-000082/10,"29.06.2010
(6118-Пр/10)",4607027763534,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Магния сульфат,Магния сульфат,"раствор для внутривенного введения 250 мг/мл, 10 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - коробки картонные","ОАО ""Биосинтез"" - Россия", 10,  23.54,,Р N001547/01,"19.02.2010
(1230-Пр/10)",4602884003120,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181930,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181985,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182036,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182241,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182296,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182340,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181947,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181992,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182043,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182258,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182302,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182357,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181923,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181978,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182029,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182234,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182289,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182333,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181954,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182005,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182050,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182265,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182319,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182364,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181916,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086181961,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182012,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 10,  84.65,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182227,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 20,  167.76,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182272,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Реалаксан*,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия, 6,  50.79,,ЛСР-000765/10,"22.03.2010
(2288-Пр/10)",8901086182326,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Макрогол,Фортеза Ромфарм**,"порошок для приготовления раствора для приема внутрь 10 г, 1 шт., 10.5 г - саше (10) - пачки картонные",К.О.Ромфарм Компани С.р.Л. - Румыния, 10,  70.50,,ЛСР-007785/09,"09.02.2010
(823-Пр/10)",5944728000940,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Маннитол,Маннитол*******(*)*,"раствор для внутривенного введения 150 мг/мл, 200 мл - бутылки для крови и кровезаменителей","ОАО ""Научно-производственный концерн ""ЭСКОМ"" - Россия", 1,  75.60,+,Р N002946/01,"09.06.2010
(5344-Пр/10)",4605453002104,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Маннитол,Маннитол*******(*)*,"раствор для внутривенного введения 150 мг/мл, 200 мл - бутылки для крови и кровезаменителей (28) - коробки картонные","ОАО ""Научно-производственный концерн ""ЭСКОМ"" - Россия", 28, 2 116.80,,Р N002946/01,"26.08.2010
(8733-Пр/10)",24605453000531,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Мелфалан,Алкеран**,лиофилизат для приготовления раствора для внутрисосудистого введения 50 мг - флаконы /в комплекте с растворителем (флаконы) 10 мл/ - пачки картонные,"Вл. - ЗАО ""ГлаксоСмитКляйн Трейдинг"" - Россия; Пр. - Кардинал Хелс - США; Уп. - ГлаксоСмитКляйн Мэньюфэкчуринг С.п.А. - Италия", 1, 1 151.04,,П N014836/01,"27.02.2010
(1488-Пр/10)",4607008130089,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Мелфалан,Алкеран**,"таблетки покрытые пленочной оболочкой 2 мг, 25 шт. - флаконы темного стекла - пачки картонные","Вл. - ЗАО ""ГлаксоСмитКляйн Трейдинг"" - Россия; Пр. - Экселла ГмбХ - Германия", 25,  282.01,,П N015839/01,"27.02.2010
(1488-Пр/10)",4607008130416,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Меропенем,Меронем**,лиофилизат для приготовления раствора для внутривенного введения 1 г - флаконы (10) - пачки картонные,Вл. - АстраЗенека ЮК Лимитед - Великобритания; Пр. - Сумитомо Фармасьютикал Ко.Лтд - Япония, 10, 14 102.40,,П N013294/01,"29.04.2010
(3572-Пр/10)",5000455007185,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Меропенем,Меронем**,лиофилизат для приготовления раствора для внутривенного введения 1 г - флаконы (10) - пачки картонные,Вл. - АстраЗенека ЮК Лимитед - Великобритания; Пр. - Сумитомо Фармасьютикал Ко.Лтд - Япония, 10, 14 102.50,,П N013294/01,"10.03.2010
(1808-Пр/10)",5000455005952,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Меропенем,Меронем**,лиофилизат для приготовления раствора для внутривенного введения 500 мг - флаконы (10) - пачки картонные,Вл. - АстраЗенека ЮК Лимитед - Великобритания; Пр. - Сумитомо Фармасьютикал Ко.Лтд - Япония, 10, 7 032.70,,П N013294/01,"29.04.2010
(3572-Пр/10)",5000455007178,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Меропенем,Меронем**,лиофилизат для приготовления раствора для внутривенного введения 500 мг - флаконы (10) - пачки картонные,Вл. - АстраЗенека ЮК Лимитед - Великобритания; Пр. - Сумитомо Фармасьютикал Ко.Лтд - Япония, 10, 7 032.70,,П N013294/01,"10.03.2010
(1808-Пр/10)",5000455005969,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Меропенем,Меропенем-Виал**,порошок для приготовления раствора для внутривенного введения 1000 мг - флаконы - пачки картонные,"Вл. - ООО ""Виал"" - Россия; Пр. - СиЭсПиСи Чжунно Фармасьютикал (Шицзячжуан) Ко., Лтд - Китай; Уп. - ООО ""Озон"" - Россия", 1, 1 300.54,,ЛСР-001145/10,"29.06.2010
(6118-Пр/10)",4607027763558,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Меропенем,Меропенем-Виал**,порошок для приготовления раствора для внутривенного введения 500 мг - флаконы - пачки картонные,"Вл. - ООО ""Виал"" - Россия; Пр. - СиЭсПиСи Чжунно Фармасьютикал (Шицзячжуан) Ко., Лтд - Китай; Уп. - ООО ""Озон"" - Россия", 1,  650.27,,ЛСР-001145/10,"29.06.2010
(6118-Пр/10)",4607027763541,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Метилпреднизолона ацепонат,Адвантан*,"крем для наружного применения 0.1%, 15 г - тубы алюминиевые - пачки картонные",Вл. - Интендис ГмбХ - Германия; Пр. - Интендис Мануфэкчуринг С.п.А. - Италия, 1,  282.42,,П N013563/01,"04.03.2010
(1729-Пр/10)",4260085520282,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Метилпреднизолона ацепонат,Адвантан*,"мазь для наружного применения 0.1%, 15 г - тубы алюминиевые - пачки картонные",Вл. - Интендис ГмбХ - Германия; Пр. - Интендис Мануфэкчуринг С.п.А. - Италия, 1,  281.79,,П N013563/03,"04.03.2010
(1729-Пр/10)",4260085520268,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Метилпреднизолона ацепонат,Адвантан*,"мазь для наружного применения 0.1%, 50 г - тубы алюминиевые - пачки картонные",Вл. - Интендис ГмбХ - Германия; Пр. - Интендис Мануфэкчуринг С.п.А. - Италия, 1,  656.26,,П N013563/03,"04.03.2010
(1729-Пр/10)",4260085520374,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
